,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,4_years,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
339,35,108,2018,34:21,4.46,10.34,2.43,6.43,1.94,2.54,0.8,4.71,5.51,1.31,2.11,1.34,1.34,3.6,13.29,0.431,0.378,0.764,1,Robert,Covington,F,6.0,9.0,225.0,13,LAC,LA,West,Pacific,LA Clippers,Clippers
340,68,167,2018,30:18,6.01,13.0,2.37,5.47,5.4,5.97,0.79,5.34,6.13,2.62,0.72,0.34,1.46,1.9,19.79,0.463,0.433,0.904,0,Danilo,Gallinari,F,6.0,10.0,225.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
341,81,176,2018,31:47,5.88,8.79,0.0,0.0,4.1,6.44,3.81,9.04,12.85,1.99,0.81,2.31,1.6,2.85,15.85,0.669,0.0,0.636,1,Rudy,Gobert,C,7.0,1.0,245.0,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
342,68,178,2018,31:43,5.65,13.79,3.18,8.82,1.75,2.24,0.25,1.93,2.18,1.9,0.6,0.4,1.32,2.1,16.22,0.409,0.36,0.783,1,Eric,Gordon,G,6.0,4.0,215.0,13,LAC,LA,West,Pacific,LA Clippers,Clippers
343,77,188,2018,27:13,4.23,8.92,1.44,4.16,2.38,2.68,0.74,3.27,4.01,1.78,0.56,0.51,1.31,2.08,12.29,0.475,0.347,0.888,1,Jeff,Green,F,6.0,9.0,235.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
344,60,211,2018,21:41,2.83,6.27,0.8,2.55,1.17,1.42,0.65,1.82,2.47,2.25,0.87,0.13,0.85,1.7,7.63,0.452,0.314,0.824,1,George,Hill,G,6.0,3.0,188.0,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
345,68,219,2018,29:00,5.69,10.63,1.07,2.99,1.15,1.4,1.76,4.97,6.74,4.16,0.87,1.26,1.5,1.85,13.6,0.535,0.36,0.821,1,Al,Horford,C-F,6.0,10.0,245.0,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
346,69,250,2018,29:40,4.14,6.46,0.0,0.0,2.7,3.83,3.26,9.81,13.07,2.26,0.61,1.06,2.22,2.42,10.99,0.641,0.0,0.705,1,DeAndre,Jordan,C,6.0,11.0,265.0,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
347,47,252,2018,16:03,2.94,6.34,1.06,2.96,1.68,2.28,0.83,2.64,3.47,1.34,0.26,0.26,0.87,1.45,8.62,0.463,0.36,0.738,1,Frank,Kaminsky,F-C,7.0,0.0,242.0,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
348,81,283,2018,28:38,4.38,9.7,2.31,6.32,1.38,1.64,0.41,4.48,4.89,1.21,0.63,2.21,1.01,2.33,12.46,0.452,0.365,0.842,1,Brook,Lopez,C,7.0,0.0,270.0,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
