  full_name,2022/23 ,2022/23(*)
Cole Anthony,"$3,613,680","$3,720,976"
Corey Kispert,"$3,552,840","$3,658,330"
AJ Griffin,"$3,536,160","$3,641,154"
Goran Dragic,"$3,523,762","$3,628,387"
Mike Muscala,"$3,500,000","$3,603,921"
Georges Niang,"$3,465,000","$3,567,882"
Chuma Okeke,"$3,433,320","$3,535,261"
Isaiah Stewart,"$3,433,320","$3,535,261"
Trey Burke,"$3,423,750","$3,525,407"
Amir Coffey,"$3,395,062","$3,495,867"
Alperen Sengun,"$3,375,360","$3,475,580"
Tari Eason,"$3,359,160","$3,458,899"
Aleksej Pokusevski,"$3,261,480","$3,358,319"
Kevin Porter,"$3,217,631","$3,313,168"
Trey Murphy,"$3,206,520","$3,301,727"
Simone Fontecchio,"$3,205,128","$3,300,293"
Andre Drummond,"$3,200,000","$3,295,013"
Derrick Jones,"$3,200,000","$3,295,013"
Dalen Terry,"$3,191,400","$3,286,158"
Sterling Brown,"$3,122,602","$3,215,317"
Josh Green,"$3,098,400","$3,190,397"
Jake LaRavia,"$3,047,640","$3,138,129"
Tre Mann,"$3,046,200","$3,136,647"
Kevin Knox,"$3,000,000","$3,089,075"
Saddiq Bey,"$2,959,080","$3,046,940"
Malaki Branham,"$2,925,600","$3,012,466"
Joe Wieskamp,"$2,909,261","$2,995,641"
Kai Jones,"$2,909,040","$2,995,414"
Taj Gibson,"$2,905,851","$2,992,130"
Bismack Biyombo,"$2,905,851","$2,992,130"
Austin Rivers,"$2,905,851","$2,992,130"
Wesley Matthews,"$2,905,851","$2,992,130"
Udonis Haslem,"$2,905,851","$2,992,130"
Serge Ibaka,"$2,905,851","$2,992,130"
Andre Iguodala,"$2,905,851","$2,992,130"
Markieff Morris,"$2,905,851","$2,992,130"
Robin Lopez,"$2,905,851","$2,992,130"
Blake Griffin,"$2,905,851","$2,992,130"
RJ Hampton,"$2,898,243","$2,984,296"
Andrew Nicholson,"$2,844,429","$2,928,885"
Precious Achiuwa,"$2,840,160","$2,924,489"
Christian Braun,"$2,808,600","$2,891,992"
Jordan Nwora,"$2,800,000","$2,883,136"
Jalen Johnson,"$2,792,640","$2,875,558"
Tyrese Maxey,"$2,726,880","$2,807,845"
Bruno Fernando,"$2,717,391","$2,798,075"
Walker Kessler,"$2,696,400","$2,776,460"
Keon Johnson,"$2,681,040","$2,760,644"
Charles Bassey,"$2,674,742","$2,754,159"
Dennis Schroeder,"$2,641,682","$2,720,118"
Matthew Dellavedova,"$2,628,597","$2,706,644"
TJ Warren,"$2,628,597","$2,706,644"
Trey Lyles,"$2,625,000","$2,702,940"
Zeke Nnaji,"$2,617,800","$2,695,527"
David Roddy,"$2,588,640","$2,665,501"
Isaiah Jackson,"$2,573,760","$2,650,179"
MarJon Beauchamp,"$2,485,200","$2,558,990"
Usman Garuba,"$2,471,160","$2,544,533"
Montrezl Harrell,"$2,463,490","$2,536,635"
Frank Kaminsky,"$2,463,490","$2,536,635"
Raul Neto,"$2,463,490","$2,536,635"
Willy Hernangomez,"$2,443,581","$2,516,135"
Theo Maledon,"$2,408,891","$2,480,414"
Blake Wesley,"$2,385,480","$2,456,309"
Josh Christopher,"$2,372,160","$2,442,593"
Isaiah Roby,"$2,330,681","$2,399,882"
Lindy Waters III,"$2,316,876","$2,385,668"
Immanuel Quickley,"$2,316,240","$2,385,013"
Wendell Moore,"$2,306,520","$2,375,004"
John Konchar,"$2,300,000","$2,368,291"
Damian Jones,"$2,298,385","$2,366,628"
Juan Hernangomez,"$2,298,385","$2,366,628"
Bryn Forbes,"$2,298,385","$2,366,628"
Rodney McGruder,"$2,298,385","$2,366,628"
Quentin Grimes,"$2,277,000","$2,344,608"
Saben Lee,"$2,266,640","$2,333,938"
Andrew Nembhard,"$2,244,111","$2,310,742"
Nikola Jovic,"$2,239,920","$2,306,427"
Payton Pritchard,"$2,239,200","$2,305,685"
Vlatko Cancar,"$2,234,359","$2,300,701"
Patrick Baldwin,"$2,226,000","$2,292,093"
TyTy Washington,"$2,210,040","$2,275,660"
Bones Hyland,"$2,201,520","$2,266,887"
Bol Bol,"$2,200,000","$2,265,321"
Peyton Watson,"$2,193,960","$2,259,102"
Marquese Chriss,"$2,193,920","$2,259,061"
Udoka Azubuike,"$2,174,880","$2,239,456"
Jaden McDaniels,"$2,161,440","$2,225,616"
Jordan McLaughlin,"$2,160,000","$2,224,134"
Malachi Flynn,"$2,145,720","$2,209,430"
Cam Thomas,"$2,138,160","$2,201,645"
Juan Toscano-Anderson,"$2,133,278","$2,196,618"
Damion Lee,"$2,133,278","$2,196,618"
Dennis Smith,"$2,133,278","$2,196,618"
Luke Kornet,"$2,133,278","$2,196,618"
Desmond Bane,"$2,130,240","$2,193,490"
Jaden Springer,"$2,125,200","$2,188,300"
Day'Ron Sharpe,"$2,109,480","$2,172,114"
Santiago Aldama,"$2,094,120","$2,156,298"
Frank Ntilikina,"$2,036,318","$2,096,779"
Tony Bradley,"$2,036,318","$2,096,779"
Caleb Houstan,"$2,000,000","$2,059,383"
Kenrich Williams,"$2,000,000","$2,059,383"
Jeremiah Robinson-Earl,"$2,000,000","$2,059,383"
Jaylin Williams,"$2,000,000","$2,059,383"
Garrison Mathews,"$2,000,000","$2,059,383"
Shake Milton,"$1,997,718","$2,057,033"
Drew Eubanks,"$1,968,175","$2,026,613"
Josh Okogie,"$1,968,175","$2,026,613"
Troy Brown,"$1,968,175","$2,026,613"
Thomas Bryant,"$1,968,175","$2,026,613"
Theo Pinson,"$1,968,175","$2,026,613"
Edmond Sumner,"$1,968,175","$2,026,613"
Yuta Watanabe,"$1,968,175","$2,026,613"
Aaron Holiday,"$1,968,175","$2,026,613"
Daniel Gafford,"$1,930,681","$1,988,006"
Jalen McDaniels,"$1,930,681","$1,988,006"
Naz Reid,"$1,930,681","$1,988,006"
Jaylen Nowell,"$1,930,681","$1,988,006"
Terance Mann,"$1,930,681","$1,988,006"
Dean Wade,"$1,930,681","$1,988,006"
Chimezie Metu,"$1,910,860","$1,967,596"
KZ Okpala,"$1,902,133","$1,958,610"
Davon Reed,"$1,902,133","$1,958,610"
Killian Tillie,"$1,901,625","$1,958,087"
Vernon Carey,"$1,882,621","$1,938,519"
Keita Bates-Diop,"$1,878,720","$1,934,502"
Moritz Wagner,"$1,878,720","$1,934,502"
Thanasis Antetokounmpo,"$1,878,720","$1,934,502"
Wenyen Gabriel,"$1,878,720","$1,934,502"
Oshae Brissett,"$1,846,738","$1,901,570"
Anthony Gill,"$1,836,090","$1,890,606"
Ryan Arcidiacono,"$1,836,090","$1,890,606"
Isaiah Joe,"$1,836,090","$1,890,606"
Justin Jackson,"$1,836,090","$1,890,606"
Nathan Knight,"$1,836,090","$1,890,606"
Max Strus,"$1,815,677","$1,869,587"
Gabe Vincent,"$1,815,677","$1,869,587"
Javonte Green,"$1,815,677","$1,869,587"
Herb Jones,"$1,785,000","$1,837,999"
Tre Jones,"$1,782,621","$1,835,550"
Paul Reed,"$1,782,621","$1,835,550"
Naji Marshall,"$1,782,621","$1,835,550"
Xavier Tillman,"$1,782,621","$1,835,550"
KJ Martin,"$1,782,621","$1,835,550"
Tyrell Terry,"$1,782,621","$1,835,550"
Lamar Stevens,"$1,782,621","$1,835,550"
Nick Richards,"$1,782,621","$1,835,550"
Omer Yurtseven,"$1,752,638","$1,804,676"
Haywood Highsmith,"$1,752,638","$1,804,676"
Leandro Bolmaro,"$1,709,300","$1,760,052"
Terry Taylor,"$1,703,902","$1,754,493"
Jared Butler,"$1,674,655","$1,724,377"
Jericho Sims,"$1,639,842","$1,688,531"
Kessler Edwards,"$1,637,966","$1,686,600"
Sam Hauser,"$1,637,966","$1,686,600"
Isaiah Todd,"$1,575,000","$1,621,764"
Dalano Banton,"$1,563,518","$1,609,941"
Trendon Watford,"$1,563,518","$1,609,941"
Greg Brown,"$1,563,518","$1,609,941"
