index  PLAYER	2022/23 	2022/23(*)
555.	Michael Foster	$106,288	$109,443
556.	Jarrell Brantley	$105,522	$108,655
556.	Deonte Burton	$105,522	$108,655
558.	Xavier Sneed	$102,910	$105,965
559.	Justin Lewis	$102,363	$105,402
560.	Lindell Wigginton	$99,438	$102,390
561.	Jordan Schakel	$96,514	$99,379
562.	Demetrius Jackson	$92,857	$95,614
563.	Stanley Umude	$58,493	$60,229
564.	Jeenathan Williams	$52,644	$54,207
565.	Armoni Brooks	$50,000	$51,484
565.	DJ Steward	$50,000	$51,484
567.	Jay Scrubb	$49,719	$51,195
568.	Justin Minaya	$35,096	$36,138
569.	Kobi Simmons	$32,795	$33,768
570.	Gabe York	$32,171	$33,126
571.	Ibou Badji	$18,226	$18,767
572.	Tristan Thompson	$16,700	$17,195
573.	Jacob Gilyard	$5,849	$6,022
573.	RaiQuan Gray	$5,849	$6,022
