index  PLAYER	2022/23 	2022/23(*)
117.	Kelly Olynyk	$12,804,878	$13,185,077
118.	Chris Boucher	$12,690,000	$13,066,788
119.	Kelly Oubre	$12,600,000	$12,974,116
120.	Marvin Bagley	$12,500,000	$12,871,147
121.	Robert Covington	$12,307,692	$12,673,129
122.	Josh Richardson	$12,196,094	$12,558,217
123.	Ja Morant	$12,119,440	$12,479,287
124.	Danny Green	$11,710,528	$12,058,233
125.	Devonte Graham	$11,550,000	$11,892,940
126.	Terrence Ross	$11,500,000	$11,841,455
127.	Reggie Jackson	$11,457,217	$11,797,401
128.	Dillon Brooks	$11,400,000	$11,738,486
129.	Richaun Holmes	$11,215,260	$11,548,260
130.	Dwight Powell	$11,080,125	$11,409,113
131.	Paolo Banchero	$11,055,120	$11,383,366
132.	RJ Barrett	$10,900,634	$11,224,293
133.	Bobby Portis	$10,843,350	$11,165,308
134.	DeAndre Jordan	$10,733,758	$11,052,461
135.	Anthony Edwards	$10,733,400	$11,052,093
136.	Robert Williams	$10,714,287	$11,032,413
137.	Cade Cunningham	$10,552,800	$10,866,131
138.	PJ Tucker	$10,490,000	$10,801,466
139.	Derrick Favors	$10,350,803	$10,658,136
140.	Mo Bamba	$10,300,000	$10,605,825
141.	Talen Horton-Tucker	$10,260,000	$10,564,637
142.	Jae Crowder	$10,183,800	$10,486,175
143.	Ivica Zubac	$10,123,457	$10,424,040
144.	Alec Burks	$10,012,800	$10,310,097
144.	Reggie Bullock	$10,012,800	$10,310,097
146.	Chet Holmgren	$9,891,240	$10,184,928
147.	De'Andre Hunter	$9,835,881	$10,127,925
148.	Larry Nance Jr	$9,672,727	$9,959,927
149.	James Wiseman	$9,603,360	$9,888,500
150.	Landry Shamet	$9,500,000	$9,782,071
151.	Malik Monk	$9,472,219	$9,753,466
152.	Jalen Green	$9,441,840	$9,722,185
153.	Jakob Poeltl	$9,398,148	$9,677,195
154.	Nerlens Noel	$9,391,069	$9,669,906
155.	Nicolas Claxton	$9,350,000	$9,627,618
